text,label,text_length,is_long,sample_id,rewritten_review
"Forget what I said about Emeril. Rachael Ray is the most irritating personality on the Food Network AND all of television. If you've never seen 30 Minute Meals, then you cannot possibly begin to comprehend how unfathomably annoying she is. I really truly meant that you can't even begin to be boggled by her until you've viewed the show once or twice, and even then all words and intelligent thoughts will fail you. The problem is mostly with her mannerisms as you might have guessed. Ray has a goofy mouth and often imitates the parrot. If you love something or think it's ""awesome"" (a word she uses roughly 87 times per telecast) just say it. And she's constantly using horrible, unfunny catchphrases like ""EVOO"" (Extra virgin olive oil!). SHUT UP! What's worse is Ray has TWO other shows on the network! I think this is some elaborate conspiracy by the terrorists to drive us mad. Give me more Tyler Florence! Ray is lame.",0,925,False,33553,"Forget what I said about Emeril. Rachael Ray is the most irritating personality on the Food Network AND all of television. If you've never seen 30 Minute Meals, then you cannot possibly begin to comprehend how unfathomably annoying she is. I really, truly meant that you can't even begin to be boggled by her until you've viewed the show once or twice, and even then all words and intelligent thoughts will fail you. The problem is mostly with her mannerisms as you might have guessed. Ray has a goofy mouth and often imitates the parrot. If you love something or think it's ""awesome"" (a word she uses roughly 87 times per telecast) just say it. It's baffling how often she relies on this word, as if it’s the only adjective in her culinary vocabulary. And she's constantly using horrible, unfunny catchphrases like ""EVOO"" (Extra virgin olive oil!). SHUT UP! Hearing it once might be tolerable, but the incessant repetition is enough to drive anyone up the wall. What's worse is Ray has TWO other shows on the network! I think this is some elaborate conspiracy by the terrorists to drive us mad. Imagine trying to escape the madness of one show only to find her chirpy personality waiting for you on another. Give me more Tyler Florence! He’s a breath of fresh air compared to the cacophony that is Rachael Ray. Ray is lame."
"Former private eye-turned-security guard ditches his latest droning job and is immediately offered a chance to return to his previous profession. His assignment: to tail a mysterious French woman newly arrived in California...and apparently wanted by suit-and-tie racketeers. Unsuccessful attempt to update the film noir genre, without enough sting or wit (or involving plot dynamics) in the screenplay. Director and co-scenarist Paul Magwood (who later claimed the picture was edited without his involvement) doesn't give off the impression of having high regard for the '40s films his ""Chandler"" was borne from; his nostalgia is appropriately rumpled, but also bitter-tinged and somewhat indifferent. The handling is curiously, commendably low-keyed, and Warren Oates is well-cast as this '70s variant on the 'private dick' archetype, but the movie doesn't have any snap. Nice to see Leslie Caron and Gloria Grahame in the cast--though neither has much to do, and Caron's hot-and-cold running character is exasperating throughout. Vivid cinematography by Alan Stensvold, nice location shooting, but it fails to come to any kind of a boil. *1/2 from ****",0,1155,True,9427,"Former private eye-turned-security guard leaves his boring job and is offered a chance to return to his old profession. His task: tail a mysterious French woman in California, wanted by racketeers. The film unsuccessfully tries to update the film noir genre, lacking sting, wit, or engaging plot dynamics. Director Paul Magwood, who claimed the film was edited without his input, doesn't seem to respect the '40s films his ""Chandler"" draws from; his nostalgia is rumpled, bitter, and indifferent. While commendably low-key, the movie lacks snap. Warren Oates is well-cast as a '70s private detective, but the film doesn't boil. It's nice to see Leslie Caron and Gloria Grahame, though their roles are limited, and Caron's character is exasperating. Vivid cinematography and nice locations, but it fails to ignite. *1/2 from ****"
"Mann photographs the Alberta Rocky Mountains in a superb fashion, and Jimmy Stewart and Walter Brennan give enjoyable performances as they always seem to do. <br /><br />But come on Hollywood - a Mountie telling the people of Dawson City, Yukon to elect themselves a marshal (yes a marshal!) and to enforce the law themselves, then gunfighters battling it out on the streets for control of the town? <br /><br />Nothing even remotely resembling that happened on the Canadian side of the border during the Klondike gold rush. Mr. Mann and company appear to have mistaken Dawson City for Deadwood, the Canadian North for the American Wild West.<br /><br />Canadian viewers be prepared for a Reefer Madness type of enjoyable howl with this ludicrous plot, or, to shake your head in disgust.",0,787,False,199,"Mann photographs the Alberta Rocky Mountains in a superb fashion, capturing the stunning beauty and grandeur of the landscape in a way that is truly breathtaking and awe-inspiring. His ability to showcase the natural splendor of the region is unparalleled, and it adds an incredible visual element to the film that is simply marvelous to behold. And then there are the performances by the legendary Jimmy Stewart and Walter Brennan, who deliver enjoyable and memorable performances as they always seem to do, bringing their characters to life with charm, wit, and a touch of humor that is both engaging and entertaining. Their on-screen chemistry and talent are evident throughout, making their performances a real highlight of the film.

However, come on Hollywood - a Mountie telling the people of Dawson City, Yukon to elect themselves a marshal (yes, a marshal!) and to enforce the law themselves, then gunfighters battling it out on the streets for control of the town? This scenario is utterly preposterous and historically inaccurate, as nothing even remotely resembling that happened on the Canadian side of the border during the Klondike gold rush. The filmmakers, led by Mr. Mann and company, appear to have entirely mistaken Dawson City for Deadwood, confusing the Canadian North with the American Wild West in a way that is both baffling and frustrating.

For Canadian viewers, this film may be a source of amusement akin to the cult classic Reefer Madness, providing an enjoyable howl with its ludicrous and outlandish plot. Alternatively, it may lead viewers to shake their heads in disgust at the blatant disregard for historical accuracy and the absurd portrayal of events that never transpired in the Canadian context. Either way, this film is sure to elicit a strong reaction, whether it be laughter or exasperation, from those familiar with the true history of the Klondike gold rush."
"Simply put: the movie is boring. Cliché upon cliché is confirmed and story lines never come together. It seems as if the director was unsure whether to make a movie or a documentary. The main plot is very thin (a CIA agent is ordered to kill an oil prince, gets caught and then warns the prince (why?)) and therefore some elements were added to make the movie more interesting. So, a kid dies, which results in the ""natural"" response of the father: freely advising the person indirectly responsible for his son's death. The lawyer has a drunk ""friend"" and keeps him around, why, no one knows. Some kids become suicide terrorists and blow up a ship.<br /><br />All in all, this is one of the worst movies I have seen in quite a while. I was neither entertained nor intellectually challenged. I neither laughed nor cried, I did not gain an understanding nor was I compelled to learn more or take up a cause. It meant nothing to me, which in my eyes is the worst one can say about a movie.",0,986,True,12447,"The movie is boring, filled with clichés and disjointed storylines. The director seems unsure whether to make a movie or a documentary. The main plot is thin: a CIA agent is ordered to kill an oil prince, gets caught, then warns the prince (why?). Additional elements fail to add interest: a kid dies, and the father inexplicably advises the person indirectly responsible for his son's death. A lawyer keeps a drunk ""friend"" for no apparent reason. Some kids become suicide terrorists and blow up a ship.

Overall, this is one of the worst movies I've seen in a while. I was neither entertained nor intellectually challenged. I didn't laugh or cry, gain understanding, or feel compelled to learn more or take up a cause. It meant nothing to me, which is the worst thing one can say about a movie."
"Now being a fan of sci fi, the trailer for this film looked a bit too, how do i put it, hollywood. But after watching it i can gladly say it has impressed me greatly. Jude is a class actor and miss Leigh pulls it off better than she did in Delores Clairborne. It brings films like The Matrix, 12 Monkeys and The Cell into mind, which might not sound that appealing, but it truly is one of the best films i have seen.",1,416,False,39489,"Now, being a fan of sci-fi, the trailer for this film initially looked a bit too, how do I put it, Hollywood. It seemed like it might be just another flashy, effects-driven movie without much substance, which often happens with big studio projects in this genre. However, after watching it, I can gladly say it has impressed me greatly. It exceeded my expectations in ways I didn’t anticipate. Jude is a class actor, delivering a performance that is both nuanced and compelling, drawing you into his character’s journey. Miss Leigh pulls it off better than she did in Dolores Claiborne, which is quite an accomplishment given her strong performance in that earlier film. Her portrayal here is layered and adds depth to the story, elevating the film beyond the typical sci-fi fare. It brings films like The Matrix, 12 Monkeys, and The Cell into mind, which might not sound that appealing to everyone at first, especially if you’re looking for something entirely original. Yet, despite these comparisons, it truly is one of the best films I have seen. It manages to capture the essence of these iconic films while still offering something unique and engaging for the audience. The film's ability to blend thought-provoking themes with engaging action and storytelling is a testament to its quality."
"In 'Hoot' Logan Lerman plays Roy Eberhardt, the new kid in school who has just moved from Montana. But Florida is a lot different from Montana. Despite is troubles in blending in, Roy discovers a bigger problem. A new franchise restaurant is coming to town and families of burrowing owls are in trouble. Can the new kid, a tomboy (Brie Larson) and a runaway (Cody Linley) stop big business from destroying these owls' home? <br /><br />This movie was pretty good. The kids (Logan Lerman, Brie Larson and Cody Linley) are the real stars of this film. Luke Wilson (Officer Delinko) is okay, but really does not have a very big part. Neither does Robert Wagner (Mayor) or Jimmy Buffett (Mr. Ryan).<br /><br />Nevertheless this was a fun film that the whole family will enjoy. For a first time producer, I thought Jimmy Buffett put together a quality piece of work. Plus the owls were really cute.",1,893,False,42724,"In 'Hoot,' Logan Lerman takes on the role of Roy Eberhardt, the new kid in school who has just moved all the way from Montana. But as Roy quickly discovers, Florida is a lot different from Montana. Despite his troubles in blending in and trying to find his place, Roy stumbles upon a bigger and more pressing problem. A new franchise restaurant is about to come to town, and the families of burrowing owls are in serious trouble. Can the new kid, with the help of a determined tomboy played by Brie Larson and a runaway portrayed by Cody Linley, stop the big business from destroying the owls' home and habitat? 

This movie was pretty good, and I found it to be quite enjoyable. The kids, including Logan Lerman, Brie Larson, and Cody Linley, are the real stars of this film, each bringing their unique charm and energy to their roles. Luke Wilson, who plays Officer Delinko, is okay in his performance, but he really does not have a very big part in the overall storyline. Neither does Robert Wagner, who plays the Mayor, or Jimmy Buffett, who takes on the role of Mr. Ryan. 

Nevertheless, this was a fun film that the whole family will undoubtedly enjoy. For a first-time producer, I thought Jimmy Buffett really put together a quality piece of work that resonated with audiences of all ages. Plus, the owls featured in the movie were really cute, adding an extra layer of charm and appeal to the entire film."
This is the worst film I have ever seen.I was watching this film with some friends and after 40 minutes we had enough. The plot was bad and there wasn't a single likeable character.I could get more entertainment watching static. I gave this movie a 1 only because the scale didn't go into negative numbers. Avoid this movie at all costs.,0,337,False,10822,"This is, without a doubt, the worst film I have ever seen in my entire life. I was watching this film with some friends, hoping for an enjoyable evening, but after enduring 40 excruciating minutes, we had enough. The plot was atrocious, lacking any coherence or originality, and there wasn't a single likeable character to be found throughout the entire film. Honestly, I could get more entertainment from simply watching static on a television screen. It's mind-boggling how something like this even got made. I gave this movie a 1 only because the rating scale didn't allow for negative numbers, which this movie truly deserves. Avoid this movie at all costs, as it is an absolute waste of time and will leave you questioning why you ever decided to watch it in the first place."
"I think that Toy Soldiers is an excellent movie. It's one of the only movies that, aside from some well known actors, has an unknown cast that can actually act. In my opinion, the plot is captivating. It keeps your attention without having an outrageous story that couldn't possibly happen in real life. I think that everyone would enjoy this movie. Sean Astin always seems to pick the perfect movies to be in that showcase his talent. He's very underrated and doesn't get the recognition that he deserves. Other movies that he has been in other actors have been in the spotlight but this movie and Rudy really showcase him because he is the main character in both. I hope that he someday gets the accolades he deserves for his acting. If you want to see a great movie you need to check this one out and if you are a Sean Astin fan you will definitely like this movie.",1,868,False,49498,"I think that Toy Soldiers is an excellent movie. It's one of the only movies that, aside from some well-known actors, has an unknown cast that can actually act. In my opinion, the plot is captivating and engaging. It keeps your attention without having an outrageous story that couldn't possibly happen in real life. The way the narrative unfolds is both thrilling and believable, which makes it all the more gripping for the audience. I think that everyone would enjoy this movie, regardless of their usual genre preferences, because it has a universal appeal that transcends typical movie categories. Sean Astin always seems to pick the perfect movies to be in that showcase his talent, and this film is certainly no exception. His performance is both compelling and nuanced, and it's clear that he puts a lot of thought and effort into his roles. He's a very underrated actor and doesn't get the recognition that he deserves, which is a shame because his talent is truly remarkable. Other movies that he has been in often see other actors in the spotlight, but this movie and Rudy really showcase him because he is the main character in both. These films provide him the opportunity to demonstrate the depth and range of his acting abilities, and he certainly rises to the occasion. I hope that he someday gets the accolades he deserves for his acting, as he has consistently proven himself to be a versatile and skilled performer. If you want to see a great movie, you need to check this one out, and if you are a Sean Astin fan, you will definitely like this movie. His performance alone is worth watching, but the movie as a whole is a fantastic experience that should not be missed."
"I think Micheal Ironsides acting career must be over, if he has to star in this sort of low budge crap. Surely he could do better than waste his time in this rubbish.<br /><br />This movie could be far better, if it had a good budget, but it shows repeatedly through-out the movie. There is one scene at a outpost, which looks like, its outside the front of a railway station, and i bet it was.<br /><br />There is one scene which made give this movie a 3, and it shows the space craft landing and taking off over a lake, surrounded by forests. This was well done, but the rest of the movie, forget it.<br /><br />There is another scene, which looks like a engineering plant, which i bet it, and does not look like a space outpost as the character say it is.<br /><br />This movie is stupid, has a serious low budget, makes no sense and God Help Micheal Ironsides.",0,864,False,4144,"I think Michael Ironside's acting career must be over, if he has to star in this sort of low-budget crap. Surely he could do better than waste his time in this rubbish. It's quite disappointing to see an actor of his caliber involved in such a project. One would expect that with his experience and talent, he would have more promising opportunities. This movie could be far better if it had a good budget, but it shows repeatedly throughout the movie that it lacks the necessary resources to be truly captivating. There is one scene at an outpost, which looks like it's outside the front of a railway station, and I bet it was. This scene alone highlights the lack of creativity and realism that a bigger budget could have provided. The setting fails to convince the audience, making it difficult to immerse oneself in the story. There is one scene which made me give this movie a 3, and it shows the spacecraft landing and taking off over a lake, surrounded by forests. This was well done, providing a momentary glimpse of what the movie could have been with more investment. The visual effects in this particular scene were impressive and stood out as a rare highlight. However, the rest of the movie, forget it. There's nothing else that redeems it from its mediocrity. There is another scene, which looks like an engineering plant, which I bet it is, and does not look like a space outpost as the characters say it is. This discrepancy further detracts from the believability of the film, making it hard for the audience to take it seriously. It's as if the filmmakers didn't even try to hide the fact that they were working with limited resources. This movie is stupid, has a serious low budget, makes no sense, and God help Michael Ironside. It's sad to see him in such a situation, and one can only hope that he finds better roles in the future that truly showcase his talent and do justice to his acting abilities."
"This was a disgrace to the game FarCry i had much expectations but all ended up in a nightmare. Besides the bad acting the visual effects, stunts the plot even the humor used in the movie was an absolute flop. The movie is not worth watching at all. The funniest part was when the girl comes and kiss Jack in order to give him the key to the cuffs. Guess the she got the keys to handcuffs all the time. I hope some good director will make a remake of this fantastic game into a movie someday. And I they will invest some good cash to get the visual effects right and the scenaries right as well as the ACTING right. But till then don't waste time by trying to watch this movie because it will surely make you go mad specially if you are a FarCry lover.",0,752,False,36958,"This was a disgrace to the game FarCry. I had much higher expectations, but all of them ended up in a nightmare. Besides the bad acting, the visual effects and stunts were disappointing. The plot, even the humor used in the movie, was an absolute flop. The movie is simply not worth watching at all. The funniest part was when the girl comes and kisses Jack in order to give him the key to the cuffs. I guess she had the keys to the handcuffs the entire time. I hope that some good director will eventually make a remake of this fantastic game into a movie someday. And I hope they will invest a significant amount of cash to get the visual effects right, the sceneries right, as well as the ACTING right. But until then, don't waste your time trying to watch this movie because it will surely make you go mad, especially if you are a FarCry lover. The experience was truly disappointing, and it left me wishing for a better adaptation that stays true to the essence of the original game. The lack of effort in the film's production was evident, and it felt like a missed opportunity to bring the game's exciting world to life. It's unfortunate that fans of the game, like myself, had to endure such a poorly executed film. I can only hope for a future where FarCry gets the movie adaptation it truly deserves, with a competent director at the helm who understands the source material. Until that day comes, it's best to steer clear of this abysmal attempt at a FarCry movie."
